event_id,event_name_raw,year,date_raw,location_raw,source_file,source_type,exclude_pre1997
005cf9782a,1980 Mike Marshall Memorial,1980,1980,,UNKNOWN_p050.jpg,FBW,
2a8ad0dbe8,1981 Mike Marshall Memorial,1981,1981,,UNKNOWN_p050.jpg,FBW,
38240bb7ec,1982 NHSA National Championships,1982,1982,,UNKNOWN_p050.jpg,FBW,
ca3ebce8f1,1983 NHSA National Championships,1983,1983,,UNKNOWN_p050.jpg,FBW,
d7766289c6,1983 WFA National Championships,1983,1983,,UNKNOWN_p050.jpg,FBW,
0585eab2a3,1984 WFA National Championships,1984,1984,,UNKNOWN_p050.jpg,FBW,
a7e1c7efa7,1985 WFA National Championships,1985,1985,,UNKNOWN_p050.jpg,FBW,
549ebc61ff,1986 WFA World Championships,1986,1986,,FBW_V05_N01_p027.jpg,FBW,
0178c65039,1987 WFA World Championships,1987,1987,,FBW_V05_N01_p027.jpg,FBW,
6455da4379,1988 WFA World Championships,1988,1988,,FBW_V05_N02_p028.jpg,FBW,
b96b9c63a4,1989 WFA World Championships,1989,1989,,FBW_V05_N02_p029.jpg,FBW,
b7e7f86a9d,1990 WFA World Championships,1990,1990,,FBW_V05_N02_p030.jpg,FBW,
4ba49ad48c,1991 WFA World Championships,1991,1991,,FBW_V06_N01_p031.jpg,FBW,
0cd3989fa3,1992 WFA World Championships,1992,1992,,FBW_V06_N01_p032.jpg,FBW,
392abf2112,1993 IFAB World Championships,1993,1993,,FBW_V06_N02_p033.jpg,FBW,
dbe602bdaa,1994 IFAB World Championships,1994,1994,,FBW_V06_N02_p034.jpg,FBW,
1ab305536b,1995 IFAB World Championships,1995,1995,,FBW_V06_N03_p035.jpg,FBW,
27ddc0dba1,1996 IFAB World Championships,1996,1996,,FBW_V07_N01_p036.jpg,FBW,
a6acc8449b,1980 National Footbag Championships,1980,1980,"Clackamas, Oregon",UNKNOWN_p021.jpg,FBW,
278d51be6e,1981 World Footbag Championships,1981,1981,"Portland, Oregon",UNKNOWN_p021.jpg,FBW,
7242e1f63b,1982 Western Regionals,1982,1982,"Seattle, WA",UNKNOWN_p022.jpg,FBW,
524d5a426e,1983 Oregon State Championships,1983,1983,Oregon,UNKNOWN_p050.jpg,FBW,
e28b8b3d20,1982 World Footbag Championships,1982,1982,"Portland, Oregon",FBW_V02_N01_p017.jpg,FBW,
9bfd1a7567,1983 World Footbag Championships,1983,1983,"Portland, Oregon",FBW_V03_N02_p021.jpg,FBW,
dab11f565e,1984 World Footbag Championships,1984,1984,"Portland, Oregon",FBW_V04_N02_p024.jpg,FBW,
da1be2ed69,1984 European Footbag Championships,1984,1984,,FBW_V04_N02_p024.jpg,FBW,
4dacb9d585,1985 World Footbag Championships,1985,1985,"Portland, Oregon",FBW_V05_N02_p028.jpg,FBW,
a31d11ed12,1986 World Footbag Championships,1986,1986,"Golden, Colorado",FBW_V06_N02_p033.jpg,FBW,
2373ad3c27,1987 World Footbag Championships,1987,1987,"Golden, Colorado",FBW_V07_N01_p037.jpg,FBW,
4a11e53de5,1987 European Footbag Championships,1987,1987,,FBW_V07_N03_p040.jpg,FBW,
a325895452,1988 World Footbag Championships,1988,1988,"Golden, Colorado",FBW_V08_N01_p042.jpg,FBW,
9f5e7b1351,1988 U.S. National Footbag Championships,1988,1988,"Chicago, Illinois",FBW_V08_N02_p044.jpg,FBW,
6f31575047,1980 World Footbag Championships,1980,1980,"Portland, Oregon",IFAB_WORLDS_HISTORY_p050.jpg,IFAB,
8c04e22a55,1989 World Footbag Championships,1989,1989,"Golden, Colorado",IFAB_WORLDS_HISTORY_p051.jpg,IFAB,
5e07d75304,1994 World Footbag Championships,1994,1994,"Palo Alto, California",IFAB_WORLDS_HISTORY_p052.jpg,IFAB,
