event_id,city_canon,state_canon,country_canon,country_iso3
857852604,Hermosa Beach,California,United States,USA
857874500,Eugene,Oregon,United States,USA
857875120,Palo Alto,California,United States,USA
857876215,Gresham,Oregon,United States,USA
857876517,Portland,Oregon,United States,USA
857876870,Eugene,Oregon,United States,USA
857880054,Australia,,Australia,AUS
857880964,Mt. Prospect,Illinois,United States,USA
857881519,B.C.,,Canada,CAN
857881898,Harrisburg,Pennsylvania,United States,USA
859400929,Quebec,,Canada,CAN
859657310,New York,New York,United States,USA
859787898,Portland,Oregon,United States,USA
859913311,Scottsdale,Arizona,United States,USA
859923755,Santa Rosa,California,United States,USA
860082052,Austin,Texas,United States,USA
860356126,Seattle,Washington,United States,USA
865043841,Carbondale,Illinois,United States,USA
873922005,Helsinki,,Finland,FIN
876331623,Hermosa Beach,California,United States,USA
876336655,Scottsdale,Arizona,United States,USA
876356874,Palo Alto,California,United States,USA
876590022,Seattle,Washington,United States,USA
876591529,Quebec,,Canada,CAN
877061793,Portland,Oregon,United States,USA
877848852,Auburn,Alabama,United States,USA
879319107,Richardson,Texas,United States,USA
881872990,Carbondale,Illinois,United States,USA
883135865,Quebec,,Canada,CAN
884112176,Champaign,Illinois,United States,USA
886044392,B.C.,,Canada,CAN
888294869,Mercer Island,Washington,United States,USA
892446131,Wichita,Kansas,United States,USA
899077904,Malta,Illinois,United States,USA
899722892,Helsinki,,Finland,FIN
901349509,Salem,Oregon,United States,USA
901687367,Harrisburg,Pennsylvania,United States,USA
903468009,Hermosa Beach,California ,United States,USA
903632480,Field Tempe,Arizona,United States,USA
909186885,Dallas,Texas,United States,USA
910551956,Palo Alto,California,United States,USA
912467534,,Oregon,United States,USA
913061034,Helsinki,,Finland,FIN
915561090,Chicago,Illinois,United States,USA
916193231,Quebec,,Canada,CAN
916977484,Eugene,Oregon,United States,USA
917278465,Berlin,,Germany,DEU
917741782,Champaign,Illinois,United States,USA
919703711,B.C.,,Canada,CAN
919885513,Quebec,,Canada,CAN
920579000,College Park,Maryland,United States,USA
924977661,Seattle,Washington,United States,USA
929217368,Harrisburg,Pennsylvania,United States,USA
931840905,Park Bigfork,Montana,United States,USA
933099911,Tempe,Arizona,United States,USA
933115858,Campus) Boulder,Colorado,United States,USA
933870505,Helsinki,,Finland,FIN
937727262,San Francisco,California,United States,USA
937854594,Turku,,Finland,FIN
941066992,Redwood City,California,United States,USA
941418343,B.C.,,Canada,CAN
942013549,Berlin,,Germany,DEU
944242404,Praha,,Czech Republic,CZE
945548940,Portland,Oregon,United States,USA
946940201,College Park,Maryland,United States,USA
947026077,Phoenixville,Pennsylvania,United States,USA
947196813,Wellington,,New Zealand,NZL
948198763,Paris,,France,FRA
948943299,Arica,,Chile,CHL
949991621,Hermosa Beach,California,United States,USA
951771943,San Francisco,California,United States,USA
952906680,Quebec,,Canada,CAN
953918475,Harrisburg,Pennsylvania,United States,USA
955745735,Wichita,Kansas,United States,USA
955831740,Turku,,Finland,FIN
957240514,Seattle,Washington,United States,USA
957778745,Bern,,Switzerland,CHE
959094047,Zurich,,Switzerland,CHE
959353403,Pocatello,Idaho,United States,USA
961053916,Oulu,,Finland,FIN
961626997,Quebec,,Canada,CAN
967817818,Austin,Texas,United States,USA
972427576,Quebec,,Canada,CAN
973573676,Auckland,,New Zealand,NZL
974683678,Boulder,Colorado,United States,USA
977260894,Arica,,Chile,CHL
978967004,Hermosa Beach,California,United States,USA
979089216,Eugene,Oregon,United States,USA
979334083,Palo Alto,California,United States,USA
979816633,Budapest,,Hungary,HUN
980253113,Zurich,,Switzerland,CHE
980502839,Prague,,Czech Republic,CZE
980969461,Bay Area,California,United States,USA
981129410,College Park,Maryland,United States,USA
981560223,Zurich,,Switzerland,CHE
984694623,Quebec,,Canada,CAN
984874006,State College,Pennsylvania,United States,USA
987985282,Queensland,,Australia,AUS
988325277,Saskatchewan,,Canada,CAN
988434364,Richardson,Texas,United States,USA
989875090,Chicago,Illinois,United States,USA
990512631,Turku,,Finland,FIN
990626988,Wroclaw,,Poland,POL
990905420,B.C.,,Canada,CAN
991285803,Quebec,,Canada,CAN
991757909,Harrisburg,Pennsylvania,United States,USA
992517335,Keuruu,,Finland,FIN
994186570,Washington,Pennsylvania,United States,USA
996293200,Wales,,Australia,AUS
996678489,Vienna,,Austria,AUT
999985344,Harjumaa,,Estonia,EST
1000071985,Hessen,,Germany,DEU
1001076203,Herault,,France,FRA
1001076315,Turku,,Finland,FIN
1001905008,Manassas,Virginia,United States,USA
1001942070,Austin,Texas,United States,USA
1004370976,Basel-Stadt,,Switzerland,CHE
1005667143,Helsinki,,Finland,FIN
1011291051,Quebec,,Canada,CAN
1011324897,State College,Pennsylvania,United States,USA
1011556608,Basel,,Switzerland,CHE
1012638214,Palo Alto,California,United States,USA
1013283071,San Francisco,California,United States,USA
1015198403,Manassas,Virginia,United States,USA
1015303046,Luis Obispo,California,United States,USA
1016457376,Augusta,Georgia,United States,USA
1018812342,Praha,,Czech Republic,CZE
1018925821,Portersville,Pennsylvania,United States,USA
1019193491,Helsinki,,Finland,FIN
1020262608,Berlin,,Germany,DEU
1021665982,Laurel,Maryland,United States,USA
1022992222,Alberta,,Canada,CAN
1023993464,Hershey,Pennsylvania,United States,USA
1024091202,Kiskunfelegyhaza,,Hungary,HUN
1025084282,Queensland,,Australia,AUS
1027925383,Helsinki,,Finland,FIN
1028218784,Houston,Texas,United States,USA
1028233308,Chicago,Illinois,United States,USA
1028800969,Hessen,,Germany,DEU
1029347412,Lyon,,France,FRA
1030642331,Seattle,Washington,United States,USA
1030830356,Montpellier,,France,FRA
1031334528,Harrisburg,Pennsylvania,United States,USA
1032472601,Philadelphia,Pennsylvania,United States,USA
1032602594,Victoria,,Australia,AUS
1034212755,Ocean City,Maryland,United States,USA
1034985978,B.C.,,Canada,CAN
1035277529,Prague,,Czech Republic,CZE
1035817350,Wales,,Australia,AUS
1036298726,Fort Collins,Colorado,United States,USA
1036653244,Alberta,,Canada,CAN
1038895913,Wellington,,New Zealand,NZL
1039550946,Quebec,,Canada,CAN
1041241196,Gyor,,Hungary,HUN
1042566573,Philadelphia,Pennsylvania,United States,USA
1042821772,Hessen,,Germany,DEU
1043096425,Long Branch,New Jersey,United States,USA
1043430155,Portersville,Pennsylvania,United States,USA
1044624680,Augusta,Georgia,United States,USA
