result_id,canonical_event_id,division_raw,place,player_raw,team_raw,source_event_id,source_type
b83a963033,1982_worlds,Open Sgls Net,1,Kenny Shults,,38240bb7ec,FBW
877c97aef7,1982_worlds,Open Sgls Net,2,Billy Hayne,,38240bb7ec,FBW
37989f1a5c,1982_worlds,Open Sgls Net,3,Bruce Guettich,,38240bb7ec,FBW
9313635c5c,1982_worlds,Open Dbls Net,1,,Mag Hughes/Billy Hayne,38240bb7ec,FBW
334795941e,1982_worlds,Open Dbls Net,2,,Kenny Shults/Walt Mason,38240bb7ec,FBW
b0d6bf4c8f,1982_worlds,Open Dbls Net,3,,Fred Kipley/Gary Preston,38240bb7ec,FBW
609f3f30fb,1982_worlds,Women's Sgls Net,1,Cheryl Hughes,,38240bb7ec,FBW
a3c659f467,1982_worlds,Women's Sgls Net,2,Carolyn Ramondie,,38240bb7ec,FBW
69ca6270c5,1982_worlds,Women's Sgls Net,3,Karen Gunther,,38240bb7ec,FBW
0f4334650b,1982_worlds,Women's Dbls Net,1,,Carolyn Ramondie/Lori Jean Tarr,38240bb7ec,FBW
315223983f,1982_worlds,Women's Dbls Net,2,,Rita Buckley/Alex Frazier,38240bb7ec,FBW
14aed77b21,1982_worlds,Women's Dbls Net,3,,Karen Uppinghouse/Cheryl Hughes,38240bb7ec,FBW
4c06cfa01a,1982_worlds,Mixed Dbls Net,1,,Mag Hughes/Alex Frazier,38240bb7ec,FBW
6b4eb67eec,1982_worlds,Mixed Dbls Net,2,,Billy Hayne/Cheryl Hughes,38240bb7ec,FBW
550ca7ceb6,1982_worlds,Mixed Dbls Net,3,,Greg Cortopassi/Rita Buckley,38240bb7ec,FBW
42aa4ad24e,1982_worlds,Open Sgls Freestyle,1,Gary Laut,,38240bb7ec,FBW
01cc7044c6,1982_worlds,Open Team Freestyle,1,,Bruce Guettich/Greg Cortopassi,38240bb7ec,FBW
590eadc6cb,1982_worlds,Open Sgls Consecutive,1,Kenny Shults,,38240bb7ec,FBW
079c2f8370,1982_worlds,Open Sgls Consecutive,2,Andy Linder,,38240bb7ec,FBW
5a70962dc8,1982_worlds,Open Sgls Consecutive,3,Gary Laut,,38240bb7ec,FBW
4a28098dc0,1982_worlds,Open Golf,1,Mike Harding,,38240bb7ec,FBW
a8e4d54e96,1982_worlds,Open Golf,2,Kenny Shults,,38240bb7ec,FBW
9e1a4ac3b3,1982_worlds,Open Golf,3,Greg Cortopassi,,38240bb7ec,FBW
98a0e0aebf,1983_worlds_nhsa,Open Sgls Net,1,Mag Hughes,,ca3ebce8f1,FBW
ff052ef614,1983_worlds_nhsa,Open Sgls Net,2,Kenny Shults,,ca3ebce8f1,FBW
6f121bebd8,1983_worlds_nhsa,Open Sgls Net,3,Dave Robinson,,ca3ebce8f1,FBW
14b96b52ca,1983_worlds_nhsa,Open Dbls Net,1,,Mag Hughes/Billy Hayne,ca3ebce8f1,FBW
e66d08c1e2,1983_worlds_nhsa,Open Dbls Net,2,,Greg Cortopassi/Bruce Guettich,ca3ebce8f1,FBW
f25ed8fc0d,1983_worlds_nhsa,Open Dbls Net,3,,Kevin Courtney/Dave Robinson,ca3ebce8f1,FBW
4242fb6a3f,1983_worlds_nhsa,Mixed Dbls Net,1,,Lori Jean Tarr/Bruce Guettich,ca3ebce8f1,FBW
bd781aaad0,1983_worlds_nhsa,Mixed Dbls Net,2,,Shannon Aubin/Dave Robinson,ca3ebce8f1,FBW
5874e1bf64,1983_worlds_nhsa,Mixed Dbls Net,3,,Tricia George/Tim Fitzgerald,ca3ebce8f1,FBW
79878edcf8,1983_worlds_nhsa,Open Sgls Freestyle,1,Jack Schoolcraft,,ca3ebce8f1,FBW
bb2bdb9655,1983_worlds_nhsa,Open Sgls Freestyle,2,Jim Caveney,,ca3ebce8f1,FBW
f3e4c16336,1983_worlds_nhsa,Open Sgls Freestyle,3,Bill Bethurum,,ca3ebce8f1,FBW
7ba709391b,1983_worlds_nhsa,Open Team Freestyle,1,,Kenny Shults/Gary Laut/Jim Caveney,ca3ebce8f1,FBW
244d6dfb22,1983_worlds_nhsa,Open Team Freestyle,2,,Kevin Courtney/Dave Robinson/Reed Gray,ca3ebce8f1,FBW
da78f9c7c0,1983_worlds_nhsa,Open Team Freestyle,3,,Robert Conover/Jim Fitzgerald,ca3ebce8f1,FBW
c53ba9c763,1983_worlds_nhsa,Open Sgls Consecutive,1,Jack Schoolcraft,,ca3ebce8f1,FBW
09a648931b,1983_worlds_nhsa,Open Golf,1,Mike Harding,,ca3ebce8f1,FBW
92050a27bc,1983_worlds_nhsa,Open Golf,2,Tim Mackey,,ca3ebce8f1,FBW
11aadc2902,1983_worlds_nhsa,Open Golf,3,Kenny Shults,,ca3ebce8f1,FBW
56f1486137,1983_worlds_wfa,Open Sgls Net,1,Kenny Shults,,d7766289c6,FBW
30f480459f,1983_worlds_wfa,Open Sgls Net,2,Dave Robinson,,d7766289c6,FBW
c96d2d93b1,1983_worlds_wfa,Open Sgls Net,3,Steve Fennell,,d7766289c6,FBW
aef0975903,1983_worlds_wfa,Open Dbls Net,1,,Kenny Shults/Mike Harding,d7766289c6,FBW
ee27ec484c,1983_worlds_wfa,Open Dbls Net,2,,Dave Hill/Dave Robinson,d7766289c6,FBW
18784d3a47,1983_worlds_wfa,Open Dbls Net,3,,Bob Swerdlick/Mike Puderbaugh,d7766289c6,FBW
2cfcf50581,1983_worlds_wfa,Women's Sgls Net,1,Lori Jean Tarr,,d7766289c6,FBW
72db0e5877,1983_worlds_wfa,Women's Sgls Net,2,Nancy Reynolds,,d7766289c6,FBW
5a3a7abe3b,1983_worlds_wfa,Women's Sgls Net,3,Tricia George,,d7766289c6,FBW
1f67f0c371,1983_worlds_wfa,Women's Dbls Net,1,,Lori Jean Tarr/Rita Buckley,d7766289c6,FBW
e519f2aaa8,1983_worlds_wfa,Women's Dbls Net,2,,Shannon Aubin/Tricia George,d7766289c6,FBW
478f6e64b7,1983_worlds_wfa,Women's Dbls Net,3,,Karin Atogpian/Constance Constable,d7766289c6,FBW
30722f65b5,1983_worlds_wfa,Mixed Dbls Net,1,,Nancy Reynolds/Constance Constable,d7766289c6,FBW
c7bf90d101,1983_worlds_wfa,Mixed Dbls Net,2,,Tricia George/Jody Grace,d7766289c6,FBW
c007d6733b,1983_worlds_wfa,Mixed Dbls Net,3,,Nancy Reynolds/Constance Constable,d7766289c6,FBW
e411db61e7,1983_worlds_wfa,Open Sgls Freestyle,1,Kenny Shults,,d7766289c6,FBW
bc8c601231,1983_worlds_wfa,Open Team Freestyle,1,,Gary Laut/Mag Hughes/Jim Caveney/Greg Cortopassi,d7766289c6,FBW
7b716dc32f,1983_worlds_wfa,Open Team Freestyle,2,,Jack Schoolcraft/Will Squire,d7766289c6,FBW
70305348fe,1983_worlds_wfa,Open Sgls Consecutive,1,Andy Linder,,d7766289c6,FBW
49d69f136c,1983_worlds_wfa,Open Golf,1,Kenny Shults,,d7766289c6,FBW
3ddbe28d53,1983_worlds_wfa,Open Golf,2,?,,d7766289c6,FBW
3be65a8b51,1983_worlds_wfa,Open Golf,3,?,,d7766289c6,FBW
6028337f94,1984_wfa_nationals,Men's Overall,1,Mag Hughes,,0585eab2a3,FBW
3bfec0b873,1984_wfa_nationals,Women's Overall,1,Tricia George,,0585eab2a3,FBW
844292e07d,1984_wfa_nationals,Open Sgls Net,1,Mag Hughes,,0585eab2a3,FBW
6096159dce,1984_wfa_nationals,Open Sgls Net,2,Dave Robinson,,0585eab2a3,FBW
5b6ecdc054,1984_wfa_nationals,Open Sgls Net,3,Kenny Shults,,0585eab2a3,FBW
c8ad9090d2,1984_wfa_nationals,Open Dbls Net,1,,Mag Hughes/Billy Hayne,0585eab2a3,FBW
7625531637,1984_wfa_nationals,Open Dbls Net,2,,Kenny Shults/Mike Harding,0585eab2a3,FBW
83c9548cdd,1984_wfa_nationals,Open Dbls Net,3,,Jim Caveney/Dave Robinson,0585eab2a3,FBW
e74ee0089e,1984_wfa_nationals,Women's Sgls Net,1,Nancy Reynolds,,0585eab2a3,FBW
b694daa76e,1984_wfa_nationals,Women's Sgls Net,2,Tricia George,,0585eab2a3,FBW
d531446133,1984_wfa_nationals,Women's Sgls Net,3,Trudy Archdale,,0585eab2a3,FBW
fe6a936768,1984_wfa_nationals,Women's Dbls Net,1,,Nancy Reynolds/Tricia George,0585eab2a3,FBW
